brand,model,year,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,price
Chevrolet,Captiva,2009.0,186568.0,Xăng,Số sàn,,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,169000000
Mitsubishi,Xpander,2022.0,117000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,479000000
Toyota,Corolla Altis,2022.0,25500.0,Xăng,Tự động,1.0,Thái Lan,Sedan,6.0,Đã sử dụng,640000000
Mitsubishi,Xpander,2019.0,50800.0,Xăng,Tự động,1.0,Nước khác,Minivan (MPV),5.0,Đã sử dụng,460000000
Hyundai,Sonata,2011.0,65000.0,Xăng,Tự động,,Hàn Quốc,Sedan,5.0,Đã sử dụng,320000000
MG,MG5,2024.0,,Xăng,Tự động,,Thái Lan,Sedan,5.0,Mới,520000000
Toyota,Innova,2016.0,90000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,255000000
Mercedes Benz,GLC Class,2020.0,56000.0,Xăng,Tự động,,Đức,Hatchback,5.0,Đã sử dụng,1599000000
Toyota,Innova,2018.0,90000.0,Xăng,Số sàn,1.0,Nhật Bản,Minivan (MPV),8.0,Đã sử dụng,459000000
VinFast,VF5,2025.0,,Điện,Tự động,,Việt Nam,Hatchback,5.0,Mới,521000000
Ford,Ranger,2024.0,50000.0,Dầu,Tự động,1.0,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,685000000
Toyota,Innova,2019.0,175000.0,Xăng,Số sàn,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,440000000
Isuzu,Mu X,2018.0,25000.0,Dầu,Tự động,,Thái Lan,Minivan (MPV),7.0,Đã sử dụng,665000000
BMW,4 Series,2019.0,42000.0,Xăng,Tự động,1.0,Đức,Mui trần,4.0,Đã sử dụng,1569000000
Mazda,3,2023.0,19000.0,Xăng,Tự động,1.0,Việt Nam,Sedan,5.0,Đã sử dụng,558000000
Toyota,Innova,2019.0,87000.0,Xăng,Tự động,1.0,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,610000000
Mercedes Benz,GLC,2019.0,63000.0,Xăng,Tự động,,Đức,SUV / Cross over,5.0,Đã sử dụng,1199000000
Ford,Everest,2022.0,33000.0,Dầu,Tự động,,Thái Lan,SUV / Cross over,9.0,Đã sử dụng,1194000000
Toyota,Avanza Premio,2022.0,61000.0,Xăng,Số sàn,1.0,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,435000000
Nissan,Grand livina,2010.0,140000.0,Xăng,Tự động,,Nhật Bản,--,5.0,Đã sử dụng,225000000
Ford,EcoSport,2020.0,50000.0,Xăng,Tự động,,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,490000000
Mitsubishi,Xpander,2020.0,50000.0,Xăng,Tự động,1.0,Đang cập nhật,--,7.0,Đã sử dụng,500000000
VinFast,Fadil,2020.0,77000.0,Xăng,Tự động,,Việt Nam,Hatchback,5.0,Đã sử dụng,315000000
MG,MGZS,2025.0,,Xăng,Tự động,,Thái Lan,SUV / Cross over,5.0,Mới,460000000
MG,MG5,2024.0,,Xăng,Tự động,,Thái Lan,Sedan,5.0,Mới,520000000
Mazda,3,2019.0,33000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,600000000
VinFast,Fadil,2019.0,40000.0,Xăng,Tự động,1.0,Việt Nam,Hatchback,5.0,Đã sử dụng,315000000
Mitsubishi,Xpander Cross,2024.0,41000.0,Xăng,Tự động,1.0,Đang cập nhật,--,,Đã sử dụng,640000000
Hãng khác,Dòng khác,2025.0,,Xăng,Số sàn,,Việt Nam,Van,2.0,Mới,96000000
Ford,Laser,2000.0,797979.0,Xăng,Số sàn,,Đang cập nhật,Hatchback,5.0,Đã sử dụng,89000000
Mercedes Benz,S Class,2017.0,69000.0,Xăng,Tự động,,Việt Nam,Sedan,5.0,Đã sử dụng,1999000000
